Address,Score,Strict Same TX,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0xfef0f8d45e5f14f51507313044addc690e0d9139,65.37,5,112,false,BNB Chain,Harmony,2023-05-31 20:30:18.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:38:24.000,Merkly
0x6cbb6f27f0f3acd0a0d575c4443ed32b82170916,51.30,4,130,false,BNB Chain,Harmony,2023-05-31 20:31:21.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 01:48:56.000,Merkly
0x948af1669b86e5c2e72c9f60ee36dea9e62dbda9,62.82,12,120,false,BNB Chain,Harmony,2023-05-31 20:32:24.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:26:46.000,Merkly
0xc6696c24712edf2adb6add14341f6045f21e3b03,87.52,8,107,false,BNB Chain,Harmony,2023-05-31 20:34:27.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 04:27:04.000,Merkly
0x9065d98e475c25e8fd8063efc62d948534e2e52d,62.60,6,113,false,BNB Chain,Harmony,2023-05-31 20:38:21.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 06:05:29.000,Merkly
0xc522b2ce2aa9c5bd4d644a878010555ea57a5e7a,86.23,9,105,false,BNB Chain,Harmony,2023-05-31 20:39:24.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 16:37:08.000,Merkly
0xf576f7136c45ca0bb5af8c96659b12aa44710d03,64.07,5,109,false,BNB Chain,Harmony,2023-05-31 20:40:27.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:52:59.000,Merkly
0x90f53325827f1f393b4eda5bb5683911516411b2,69.46,4,106,false,BNB Chain,Harmony,2023-05-31 20:42:33.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 04:47:29.000,Merkly
0x94523a06cbc15d826a5e1462da24a3f053004462,63.50,7,109,false,BNB Chain,Harmony,2023-05-31 20:43:39.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:43:00.000,Merkly
0x51adc61ae78c35be4bc998807e18fa2fd0c55220,73.53,13,93,false,BNB Chain,Harmony,2023-05-31 20:44:45.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:25:09.000,Merkly
0x6d955076f55f83bb666817ba9bc355496f380ab3,88.73,13,103,false,BNB Chain,Harmony,2023-05-31 20:46:51.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 22:18:49.000,Merkly
0x7792b6116cae3909ecac9f14c3d1509f8b30950a,68.75,6,107,false,BNB Chain,Harmony,2023-05-31 20:47:54.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 14:03:12.000,Merkly
0xfef9a72b610c63935b9aecfd88215cdae19dad84,82.84,11,102,false,BNB Chain,Harmony,2023-05-31 20:51:03.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:17:54.000,Merkly
0xc157a3d128e4ec4e0bb8372d50cff1b0f0ac501a,54.98,17,87,false,BNB Chain,Harmony,2023-05-31 20:52:06.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 02:58:51.000,Merkly
0xa66db674f6c66b231e77201695b4382234e1c155,75.49,15,108,false,BNB Chain,Harmony,2023-05-31 20:53:09.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:48:32.000,Merkly
0x139814be5c96781eac71c3b29549e87fe1dcf153,87.16,10,103,false,BNB Chain,Harmony,2023-05-31 20:55:36.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:43:06.000,Merkly
0x13a259d81d3367a04795b15fd429d484833a5d7e,59.24,11,87,false,BNB Chain,Harmony,2023-05-31 20:56:39.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 05:45:39.000,Merkly
0xdd09cb0b7d8fcc65511700f6a3d47bc28b49df0f,91.23,19,103,false,BNB Chain,Harmony,2023-05-31 20:57:42.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:16:44.000,Merkly
0xad2b2fa1e73a9e08c773b0609d529de992f359c3,58.82,8,92,false,BNB Chain,Harmony,2023-05-31 20:58:45.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:33:04.000,Merkly
